index,key_suffix,name,display_name,hex,L,a,b
80,c080,Dr Who,Dr Who Purple,#78587d,0.507311,0.054308,-0.042623
81,c081,Purple Ink,Purple Ink,#9a2ca0,0.507874,0.161963,-0.110321
82,c082,Rural Red,Rural Red,#bb1144,0.509784,0.190784,0.045284
83,c083,Magic Ink,Magic Ink Blue,#0247fe,0.510198,-0.030280,-0.270884
84,c084,Starstruck,Starstruck Blue,#4664a5,0.511291,-0.011097,-0.108898
85,c085,Purple Rain,Purple Rain,#7442c8,0.512124,0.085602,-0.177340
86,c086,Threatening Red,Threatening Red,#c30305,0.514126,0.183465,0.101265
87,c087,Prophet Violet,Prophet Violet,#6f58a6,0.519078,0.052049,-0.109298
88,c088,Archaeology,Archaeology Gray,#6e6a5e,0.524292,-0.000557,0.018964
89,c089,Shipyard,Shipyard Blue,#4f6f85,0.525748,-0.026145,-0.043499
90,c090,Vibrant Velvet,Vibrant Velvet Magenta,#bb0088,0.528009,0.216874,-0.058233
91,c091,Plum Passion,Plum Passion,#9b4b80,0.529982,0.118937,-0.038877
92,c092,Savoy Blue,Savoy Blue,#4b61d1,0.537452,0.003160,-0.173691
93,c093,French Blue,French Blue,#0072bb,0.537514,-0.054989,-0.131050
94,c094,Ferocious Fuchsia,Ferocious Fuchsia,#aa00cc,0.541069,0.196350,-0.172623
95,c095,Cosmic Heart,Cosmic Heart Purple,#9601f4,0.546331,0.156436,-0.239771
96,c096,Jungle Look,Jungle Look Yellow,#727736,0.550257,-0.034391,0.081364
97,c097,Embarrassed Frog,Embarrassed Frog Orange,#996611,0.551521,0.032689,0.107054
98,c098,Bureaucracy,Bureaucracy Purple,#746c8f,0.551708,0.023030,-0.049303
99,c099,Cheek Red,Cheek Red,#a55a55,0.554015,0.090124,0.041602
100,c100,Emerald Whispers,Emerald Whispers,#2b8478,0.557867,-0.084968,-0.003720
101,c101,Mauve It,Mauve It,#bb4466,0.559008,0.154425,0.016415
102,c102,Ahoy! Blue,Ahoy! Blue,#0082a1,0.562508,-0.077059,-0.070099
103,c103,Maniac Green,Maniac Green,#009000,0.566089,-0.152811,0.117276
104,c104,Bluerocratic,Bluerocratic,#1f66ff,0.567285,-0.030222,-0.235731
105,c105,Bloodhound,Bloodhound Orange,#bb5511,0.569234,0.101388,0.110122
106,c106,Lusty Lavender,Lusty Lavender,#8d5eb7,0.569964,0.083954,-0.111912
107,c107,Candy Grape Fizz,Candy Grape Fizz,#7755ee,0.571335,0.066063,-0.208113
108,c108,Fruit of Passion,Fruit of Passion Magenta,#946985,0.574110,0.063356,-0.022788
109,c109,Rubylicious,Rubylicious,#db1459,0.574785,0.218579,0.040242
110,c110,Halloween Punch,Halloween Punch Red,#dd2211,0.575296,0.190354,0.110312
111,c111,Clouded Pine,Clouded Pine,#628468,0.579284,-0.049571,0.029011
112,c112,Mystifying Magenta,Mystifying Magenta,#c920b0,0.581636,0.219084,-0.099435
113,c113,Viridian,Viridian,#1e9167,0.584765,-0.112728,0.034741
114,c114,Flood,Flood Blue,#6677bb,0.585263,0.003912,-0.106342
